item,item_ine_id,item_id,item_update,region_name,region_code,is_cronicas,media_associated,media_associated_name,is_featured,url,is_municipios_link,url_municipios
Fuente Carreteros,14901,AND0041,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/fuente-carreteros/?utm_campaign=cerca-v1,FALSE,
Fuente Obejuna,14029,AND0042,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/fuente-obejuna/?utm_campaign=cerca-v1,FALSE,
Fuente Palmera,14030,AND0043,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/fuente-palmera/?utm_campaign=cerca-v1,FALSE,
Fuente Tójar,14031,AND0044,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/fuente-tojar/?utm_campaign=cerca-v1,FALSE,
Guadalcázar,14033,AND0045,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/guadalcazar/?utm_campaign=cerca-v1,FALSE,
Guadalteba,34_01_29_03,AND0046,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/guadalteba/?utm_campaign=cerca-v1,FALSE,
Hinojosa del Duque,14035,AND0047,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/hinojosa-duque/?utm_campaign=cerca-v1,FALSE,
Hornachuelos,14036,AND0048,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/hornachuelos/?utm_campaign=cerca-v1,FALSE,
Iznájar,14037,AND0049,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/iznajar/?utm_campaign=cerca-v1,FALSE,
La Axarquía,34_01_29_02,AND0050,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/axarquia/?utm_campaign=cerca-v1,FALSE,
La Carlota,14017,AND0051,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/carlota/?utm_campaign=cerca-v1,FALSE,
La Granjuela,14032,AND0052,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/granjuela/?utm_campaign=cerca-v1,FALSE,
La Guijarrosa,14902,AND0053,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/guijarrosa/?utm_campaign=cerca-v1,FALSE,
La Rambla,14057,AND0054,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/rambla/?utm_campaign=cerca-v1,FALSE,
