item,item_id,item_update,region_name,region_code,is_cronicas,media_associated,media_associated_name,is_featured,url,is_municipios_link,url_municipios
La Axarquía,AND0050,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/axarquia/,FALSE,
La Carlota,AND0051,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/carlota/,FALSE,
La Granjuela,AND0052,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/granjuela/,FALSE,
La Guijarrosa,AND0053,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/guijarrosa/,FALSE,
La Rambla,AND0054,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/rambla/,FALSE,
La Victoria,AND0055,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/victoria/,FALSE,
Los Blázquez,AND0056,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/blazquez/,FALSE,
Lucena,AND0057,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/lucena/,FALSE,
Málaga,AND0058,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/malaga/,FALSE,
Marbella,AND0059,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/marbella/,FALSE,
Media Principal,AND0060,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,TRUE,,TRUE,https://www.diariocordoba.com/municipios.html
Media Principal,AND0061,14/07/2025,Andalucía,AND,FALSE,elcorreodeandalucia,El Correo de Andalucía,FALSE,,FALSE,
Media Principal,AND0062,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,,TRUE,https://www.laopiniondemalaga.es/municipios.html
Mijas,AND0063,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/costa-sol-occidental/mijas/,FALSE,
Montemayor,AND0064,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/montemayor/,FALSE,
Montilla,AND0065,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/montilla/,FALSE,
Montoro,AND0066,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/montoro/,FALSE,
Monturque,AND0067,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/monturque/,FALSE,
Nerja,AND0068,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/axarquia/nerja/,FALSE,
Nororma,AND0069,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/comarca-nororma/,FALSE,
Nueva Carteya,AND0070,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/nueva-carteya/,FALSE,
Obejo,AND0071,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/obejo/,FALSE,
Palenciana,AND0072,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/palenciana/,FALSE,
Palma del Río,AND0073,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/palma-rio/,FALSE,
Pedroche,AND0074,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/pedroche/,FALSE,
Peñarroya-Pueblonuevo,AND0075,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/penarroya-pueblonuevo/,FALSE,
Posadas,AND0076,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/posadas/,FALSE,
Pozoblanco,AND0077,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/pozoblanco/,FALSE,
Priego,AND0078,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/priego/,FALSE,
Puente Genil,AND0079,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/puente-genil/,FALSE,
Rincón de La Victoria,AND0080,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/axarquia/rincon-de-la-victoria/,FALSE,
Ronda,AND0081,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/ronda/,FALSE,
Rute,AND0082,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/rute/,FALSE,
S.S. de los Ballesteros,AND0083,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/san-sebastian-ballesteros/,FALSE,
Santa Eufemia,AND0084,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/santa-eufemia/,FALSE,
Santaella,AND0085,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/santaella/,FALSE,
Serrania de Las Nieves,AND0086,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/serrania-nieves/,FALSE,
Serrania de Ronda,AND0087,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/serrania-ronda/,FALSE,
Sevilla,AND0088,23/07/2025,Andalucía,AND,FALSE,elcorreodeandalucia,El Correo de Andalucía,TRUE,https://www.elcorreoweb.es/sevilla/,FALSE,
Torrecampo,AND0090,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/torrecampo/,FALSE,
Torremolinos,AND0091,14/07/2025,Andalucía,AND,TRUE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/costa-sol-occidental/torremolinos/,FALSE,
Torrox,AND0092,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/axarquia/torrox/,FALSE,
Valenzuela,AND0093,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/valenzuela/,FALSE,
Valle Guadalhorce,AND0094,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/comarca-valle-guadalhorce/,FALSE,
Valsequillo,AND0095,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/valsequillo/,FALSE,
Vélez-Málaga,AND0096,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/axarquia/velez-malaga/,FALSE,
Villa del Río,AND0097,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/villa-rio/,FALSE,
Villaharta,AND0098,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/villaharta/,FALSE,
Villanueva de Córdoba,AND0099,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/villanueva-cordoba/,FALSE,
Villanueva del Duque,AND0100,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/villanueva-duque/,FALSE,
Villanueva del Rey,AND0101,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/villanueva-rey/,FALSE,
Villaralto,AND0102,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/villaralto/,FALSE,
Villaviciosa,AND0103,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/villaviciosa-cordoba/,FALSE,
Zuheros,AND0104,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/zuheros/,FALSE,
Alagón,AR0001,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/alagon/,FALSE,
Albalate del Arzobispo,AR0002,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/albalate-del-arzobispo/,FALSE,
Albarracín,AR0003,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/albarracin/,FALSE,
Alcañiz,AR0004,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/alcaniz/,FALSE,
